English	Term1	Term2	Term1_Audio	Term2_Audio	tags
Lotte is turning eight.	Lotte wird acht Jahre alt. <br><small><i>Kurzform: Lotte wird acht.</i></small>		[sound:BAKU_A1_lotte_wird_acht_jahre_alt_dwdownload.mp3]		zahlen-von-1-bis-100
"nine<br><img src=""39578944_507.jpg"" width=""50%"" height=""50%"">"	neun		[sound:BAKU_A1_neun_dwdownload.mp3]		zahlen-von-1-bis-100
"ninety<br><img src=""39556856_507.jpg"" width=""50%"" height=""50%"">"	neunzig		[sound:BAKU_A1_neunzig_dwdownload.mp3]		zahlen-von-1-bis-100
person	die Person, die Personen <br><br>	der Mensch, die Menschen	[sound:BAKU_A1_Person_dwdownload.mp3]	[sound:BAKU_A1_Mensch_dwdownload.mp3]	zahlen-von-1-bis-100
"six<br><img src=""39578925_507.jpg"" width=""50%"" height=""50%"">"	sechs		[sound:BAKU_A1_sechs_dwdownload.mp3]		zahlen-von-1-bis-100
"sixty<br><img src=""39556407_507.jpg"" width=""50%"" height=""50%"">"	sechzig		[sound:BAKU_A1_sechzig_dwdownload.mp3]		zahlen-von-1-bis-100
"seven<br><img src=""39578871_507.jpg"" width=""50%"" height=""50%"">"	sieben		[sound:BAKU_A1_sieben_dwdownload.mp3]		zahlen-von-1-bis-100
"seventy<br><img src=""39556280_507.jpg"" width=""50%"" height=""50%"">"	siebzig		[sound:BAKU_A1_siebzig_dwdownload.mp3]		zahlen-von-1-bis-100
"four<br><img src=""39578889_507.jpg"" width=""50%"" height=""50%"">"	vier		[sound:BAKU_A1_vier_dwdownload.mp3]		zahlen-von-1-bis-100
"forty<br><img src=""39556182_507.jpg"" width=""50%"" height=""50%"">"	vierzig		[sound:BAKU_A1_vierzig_dwdownload.mp3]		zahlen-von-1-bis-100
How old is Emma?	Wie alt ist Emma?		[sound:BAKU_A1_wie_alt_ist_emma_dwdownload.mp3]		zahlen-von-1-bis-100
how many	wie viele		[sound:BAKU_A1_wie_viele_dwdownload.mp3]		zahlen-von-1-bis-100
"ten<br><img src=""39578853_507.jpg"" width=""50%"" height=""50%"">"	zehn		[sound:BAKU_A1_zehn_dwdownload.mp3]		zahlen-von-1-bis-100
"twenty<br><img src=""39556203_507.jpg"" width=""50%"" height=""50%"">"	zwanzig		[sound:BAKU_A1_zwanzig_dwdownload.mp3]		zahlen-von-1-bis-100
"two<br><img src=""39578835_507.jpg"" width=""50%"" height=""50%"">"	zwei		[sound:BAKU_A1_zwei_dwdownload.mp3]		zahlen-von-1-bis-100
"twelve<br><img src=""39578817_507.jpg"" width=""50%"" height=""50%"">"	zwölf		[sound:BAKU_A1_zwoelf_dwdownload.mp3]		zahlen-von-1-bis-100
old	alt <br><small><i>älter, am ältesten</i></small>		[sound:BAKU_A1_alt_dwdownload.mp3]		wichtige-nummern
to answer something; to return a call	antworten <br><small><i>antwortet, antwortete, hat geantwortet</i></small>		[sound:BAKU_A1_antworten_dwdownload.mp3]		wichtige-nummern
three times; thrice	dreimal		[sound:BAKU_A1_dreimal_dwdownload.mp3]		wichtige-nummern
to ask	fragen <br><small><i>fragt, fragte, hat gefragt</i></small>		[sound:BAKU_A1_fragen_dwdownload.mp3]		wichtige-nummern
"lost and found<br><img src=""39655450_507.jpg"" width=""50%"" height=""50%"">"	das Fundbüro, die Fundbüros		[sound:BAKU_A1_Fundbuero_dwdownload.mp3]		wichtige-nummern
"cell phone; mobile phone<br><img src=""39556717_507.jpg"" width=""50%"" height=""50%"">"	das Handy, die Handys		[sound:BAKU_A1_Handy_dwdownload.mp3]		wichtige-nummern
cell phone number; mobile phone number	die Handynummer, die Handynummern 		[sound:BAKU_A1_Handynummer_dwdownload.mp3]		wichtige-nummern
"to listen to; to hear<br><img src=""39655438_507.jpg"" width=""50%"" height=""50%"">"	(etwas) hören <br><small><i>hört, hörte, hat gehört</i></small>		[sound:BAKU_A1_hoeren_dwdownload.mp3]		wichtige-nummern
I am 23 years old.	Ich bin 23 Jahre alt. <br><small><i>Kurzform: Ich bin 23.</i></small>		[sound:A1_E3_L1_S4_A3_Audio1_dwdownload.mp3]		wichtige-nummern
"zero<br><img src=""39578962_507.jpg"" width=""50%"" height=""50%"">"	null		[sound:A1_E2_L2_S9_A1_Loesungsaudio_dwdownload.mp3]		wichtige-nummern
"radio<br><img src=""40244587_507.jpg"" width=""50%"" height=""50%"">"	das Radio, die Radios 		[sound:BAKU_A1_Radio_dwdownload.mp3]		wichtige-nummern
to speak with someone	mit jemandem sprechen <br><small><i>spricht, sprach, hat gesprochen</i></small>		[sound:BAKU_A1_sprechen_dwdownload.mp3]		wichtige-nummern
telephone number	die Telefonnummer, die Telefonnummern 		[sound:BAKU_A1_Telefonnummer_dwdownload.mp3]		wichtige-nummern
My telephone number is...	Meine Telefonnummer ist ...		[sound:BAKU_A1_meine_telefonnummer_ist_dwdownload.mp3]		wichtige-nummern
What is your telephone number? (informal)	Wie ist deine Telefonnummer?		[sound:BAKU_A1_wie_ist_deine_telefonnummer_dwdownload.mp3]		wichtige-nummern
What is your telephone number? (formal)	Wie ist Ihre Telefonnummer?		[sound:BAKU_A1_wie_ist_ihre_telefonnummer_dwdownload.mp3]		wichtige-nummern
to lose something	etwas verlieren <br><small><i>verliert, verlor, hat verloren</i></small>		[sound:BAKU_A1_verlieren_dwdownload.mp3]		wichtige-nummern
important	wichtig <br><small><i>wichtiger, am wichtigsten</i></small>		[sound:BAKU_A1_wichtig_dwdownload.mp3]		wichtige-nummern
How old are you? (informal)	Wie alt bist du? 		[sound:BAKU_A1_wie_alt_bist_du_dwdownload.mp3]		wichtige-nummern
How old are you? (formal)	Wie alt sind Sie?		[sound:BAKU_A1_wie_alt_sind_sie_dwdownload.mp3]		wichtige-nummern
twice	zweimal		[sound:BAKU_A1_zweimal_dwdownload.mp3]		wichtige-nummern
The police (station) is/are on Schreinerstr.	Die Polizei ist in der Schreinerstraße.		[sound:A1_E2_L3_S10_A2_Audio1_dwdownload.mp3]		adressen
I’m sorry.	Entschuldigung		[sound:BAKU_Entschuldigung_dwdownload.mp3]		adressen
to be missing	fehlen <br><small><i>fehlt, fehlte, hat gefehlt</i></small>		[sound:BAKU_A1_fehlen_dwdownload.mp3]		adressen
to write (something)	(etwas) schreiben <br><small><i>schreibt, schrieb, hat geschrieben</i></small>		[sound:BAKU_A1_schreiben_dwdownload.mp3]		adressen
"to speak with someone; to call someone (on the phone)<br><img src=""39556557_507.jpg"" width=""50%"" height=""50%"">"	mit jemandem telefonieren <br><small><i>telefoniert, telefonierte, hat telefoniert</i></small>		[sound:BAKU_A1_telefonieren_dwdownload.mp3]		adressen
Good luck!	Viel Glück!<br><br>	Viel Erfolg.	[sound:BAKU_A1_viel_glueck_dwdownload.mp3]	[sound:BAKU_A1_viel_erfolg_dwdownload.mp3]	adressen
why	warum		[sound:BAKU_A2_warum_dwdownload.mp3]		adressen
Who is it?; Who's there?	Wer ist da?		[sound:BAKU_A1_wer_ist_da_dwdownload.mp3]		adressen
What is the name of the street?	Wie heißt die Straße?		[sound:A1_E2_L3_S16_A3_Audio1_dwdownload.mp3]		adressen
Where are you? (informal)	Wo bist du?		[sound:BAKU_A1_wo_bist_du_dwdownload.mp3]		adressen
Where is the police (station)?	Wo ist die Polizei?		[sound:BAKU_A1_wo_ist_die_polizei_dwdownload.mp3]		adressen
"eight hundred<br><img src=""39556252_507.jpg"" width=""50%"" height=""50%"">"	achthundert		[sound:BAKU_A1_achthundert_dwdownload.mp3]		auf-dem-amt
eight hundred and seventy eight	achthundertachtundsiebzig		[sound:BAKU_achthundertachtundsiebzig_dwdownload.mp3]		auf-dem-amt
authority; government office	das Amt, die Ämter		[sound:BAKU_A2_Amt_dwdownload.mp3]		auf-dem-amt
"dialogue; conversation<br><img src=""39645065_507.jpg"" width=""50%"" height=""50%"">"	der Dialog, die Dialoge		[sound:BAKU_A1_Dialog_dwdownload.mp3]		auf-dem-amt
"three hundred<br><img src=""39556044_507.jpg"" width=""50%"" height=""50%"">"	dreihundert		[sound:BAKU_A1_dreihundert_dwdownload.mp3]		auf-dem-amt
three hundred and twenty three	dreihundertdreiundzwanzig		[sound:BAKU_dreihundertdreiundzwanzig_dwdownload.mp3]		auf-dem-amt
one hundred and one	einhunderteins		[sound:BAKU_einhunderteins_dwdownload.mp3]		auf-dem-amt
"one thousand<br><img src=""39556633_507.jpg"" width=""50%"" height=""50%"">"	eintausend		[sound:BAKU_A1_eintausend_dwdownload.mp3]		auf-dem-amt
"five hundred<br><img src=""39556603_507.jpg"" width=""50%"" height=""50%"">"	fünfhundert		[sound:BAKU_A1_fuenfhundert_dwdownload.mp3]		auf-dem-amt
five hundred and forty five	fünfhundertfünfundvierzig		[sound:BAKU_fuenfhundertfuenfundvierzig_dwdownload.mp3]		auf-dem-amt
homeland	das Heimatland, die Heimatländer 		[sound:BAKU_B1_Heimatland_dwdownload.mp3]		auf-dem-amt
I don't know.	Ich weiß es nicht.		[sound:BAKU_A1_ich_weiss_es_nicht_dwdownload.mp3]		auf-dem-amt
to cost (it costs 5 euro)	etwas kosten <br><small><i>kostet, kostete, hat gekostet</i></small>		[sound:BAKU_A1_kosten_dwdownload.mp3]		auf-dem-amt
last name; family name	der Nachname, die Nachnamen 		[sound:BAKU_A2_Nachname_dwdownload.mp3]		auf-dem-amt
"nine hundred<br><img src=""39556295_507.jpg"" width=""50%"" height=""50%"">"	neunhundert		[sound:BAKU_A1_neunhundert_dwdownload.mp3]		auf-dem-amt
nine hundred and eighty nine	neunhundertneunundachtzig		[sound:BAKU_neunhundertneunundachtzig_dwdownload.mp3]		auf-dem-amt
uncle	der Onkel, die Onkel		[sound:BAKU_A2_Onkel_dwdownload.mp3]		auf-dem-amt
passport number	die Passnummer, die Passnummern <br><small><i>Kurzform von: Reisepassnummer</i></small><br><br>	die Reisepassnummer, die Reisepassnummern  <br><small><i>Kurzform: die Passnummer, die Passnummern</i></small>	[sound:BAKU_A1_Passnummer_dwdownload.mp3]	[sound:BAKU_A1_Reisepassnummer_dwdownload.mp3]	auf-dem-amt
"zip code; postal code<br><img src=""40054143_507.jpg"" width=""50%"" height=""50%"">"	die Postleitzahl, die Postleitzahlen 		[sound:BAKU_A1_Postleitzahl_dwdownload.mp3]		auf-dem-amt
"six hundred<br><img src=""39556351_507.jpg"" width=""50%"" height=""50%"">"	sechshundert		[sound:BAKU_A1_sechshundert_dwdownload.mp3]		auf-dem-amt
six hundred and fifty six	sechshundertsechsundfünfzig		[sound:BAKU_sechshundertsechsundfuenfzig_dwdownload.mp3]		auf-dem-amt
"seven hundred<br><img src=""39556421_507.jpg"" width=""50%"" height=""50%"">"	siebenhundert		[sound:BAKU_A1_siebenhundert_dwdownload.mp3]		auf-dem-amt
seven hundred and sixty seven	siebenhundertsiebenundsechzig		[sound:BAKU_siebenhundertsiebenundsechzig_dwdownload.mp3]		auf-dem-amt
"daughter<br><img src=""40244551_507.jpg"" width=""50%"" height=""50%"">"	die Tochter, die Töchter		[sound:BAKU_A1_Tochter_dwdownload.mp3]		auf-dem-amt
"four hundred<br><img src=""39556100_507.jpg"" width=""50%"" height=""50%"">"	vierhundert		[sound:BAKU_A1_vierhundert_dwdownload.mp3]		auf-dem-amt
four hundred and thirty four	vierhundertvierunddreißig		[sound:BAKU_vierhundertvierunddreissig_dwdownload.mp3]		auf-dem-amt
What is your number? (formal)	Welche Nummer haben Sie?		[sound:BAKU_A1_welche_nummer_haben_sie_dwdownload.mp3]		auf-dem-amt
What is your number? (informal)	Welche Nummer hast du?		[sound:BAKU_A1_welche_nummer_hast_du_dwdownload.mp3]		auf-dem-amt
What is your address? (informal)	Wie ist deine Adresse?		[sound:BAKU_A1_wie_ist_deine_adresse_dwdownload.mp3]		auf-dem-amt
What is your address? (formal)	Wie ist Ihre Adresse?		[sound:BAKU_A1_wie_ist_ihre_adresse_dwdownload.mp3]		auf-dem-amt
place; town; city of residence	der Wohnort, die Wohnorte		[sound:BAKU_A2_Wohnort_dwdownload.mp3]		auf-dem-amt
"two hundred<br><img src=""39556210_507.jpg"" width=""50%"" height=""50%"">"	zweihundert		[sound:BAKU_A1_zweihundert_dwdownload.mp3]		auf-dem-amt
two hundred and twelve	zweihundertzwölf		[sound:BAKU_zweihundertzwoelf_dwdownload.mp3]		auf-dem-amt
"airplane<br><img src=""39450078_507.jpg"" width=""50%"" height=""50%"">"	 das Flugzeug, die Flugzeuge		[sound:BAKU_A2_Flugzeug_dwdownload.mp3]		was-machst-du-hier
to work; to function	funktionieren <br><small><i>funktioniert, funktionierte, hat funktioniert</i></small>		[sound:BAKU_A1_funktionieren_dwdownload.mp3]		was-machst-du-hier
gladly; happily	gern <br><small><i>lieber, am liebsten</i></small>		[sound:BAKU_A1_gern_dwdownload.mp3]		was-machst-du-hier
"drink<br><img src=""40057884_507.jpg"" width=""50%"" height=""50%"">"	das Getränk, die Getränke 		[sound:BAKU_A1_Getraenk_dwdownload.mp3]		was-machst-du-hier
Welcome!	Herzlich willkommen!		[sound:BAKU_A1_herzlich_wilkommen_dwdownload.mp3]		was-machst-du-hier
"broken<br><img src=""42710226_507.jpg"" width=""50%"" height=""50%"">"	gebrochen<br><br>	kaputt <br><small><i>kaputter, am kaputtesten</i></small>	[sound:BAKU_A1_gebrochen_dwdownload.mp3]	[sound:BAKU_A1_kaputt_dwdownload.mp3]	was-machst-du-hier
"lamp<br><img src=""39391792_507.jpg"" width=""50%"" height=""50%"">"	die Lampe, die Lampen 		[sound:BAKU_A1_Lampe_dwdownload.mp3]		was-machst-du-hier
country	das Land, die Länder		[sound:BAKU_A1_Land_dwdownload.mp3]		was-machst-du-hier
"party<br><img src=""39560836_507.jpg"" width=""50%"" height=""50%"">"	die Party, die Partys 		[sound:BAKU_A1_Party_dwdownload.mp3]		was-machst-du-hier
"to drink (something)<br><img src=""39646146_507.jpg"" width=""50%"" height=""50%"">"	(etwas) trinken <br><small><i>trinkt, trank, hat getrunken</i></small>		[sound:BAKU_A1_trinken_dwdownload.mp3]		was-machst-du-hier
Who is that?	Wer ist denn das?		[sound:BAKU_B1_wer_ist_denn_das_dwdownload.mp3]		was-machst-du-hier
welcome	willkommen <br><small><i>willkommener, am willkommensten</i></small>		[sound:BAKU_A1_Willkommen_dwdownload.mp3]		was-machst-du-hier
"Let's use the ""du"" (informal) form of address with each other."	Wollen wir uns nicht duzen?		[sound:BAKU_A1_wollen_wir_uns_nicht_duzen_dwdownload.mp3]		was-machst-du-hier
"apple juice<br><img src=""39646194_507.jpg"" width=""50%"" height=""50%"">"	der Apfelsaft, die Apfelsäfte (nach Zahl: Apfelsaft)		[sound:BAKU_A1_Apfelsaft_dwdownload.mp3]		was-trinkst-du
"beer<br><img src=""39645927_507.jpg"" width=""50%"" height=""50%"">"	das Bier, die Biere (nach Zahl: Bier)		[sound:BAKU_A1_Bier_dwdownload.mp3]		was-trinkst-du
"coke, soda pop (drink)<br><img src=""39555988_507.jpg"" width=""50%"" height=""50%"">"	die Cola, die Colas (nach Zahl: Cola)		[sound:BAKU_A1_Cola_dwdownload.mp3]		was-trinkst-du
the (neuter article)	das		[sound:BAKU_A1_das_dwdownload.mp3]		was-trinkst-du
the (masculine article)	der		[sound:BAKU_der_dwdownload.mp3]		was-trinkst-du
the (feminine article)	die		[sound:BAKU_A1_die_dwdownload.mp3]		was-trinkst-du
"ice cubes<br><img src=""42831958_507.jpg"" width=""50%"" height=""50%"">"	das Eis <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Eis_dwdownload.mp3]		was-trinkst-du
I have an idea.	Ich habe eine Idee.		[sound:BAKU_Ich_habe_eine_Idee_dwdownload.mp3]		was-trinkst-du
to know someone	jemanden/etwas kennen <br><small><i>kennt, kannte, hat gekannt</i></small>		[sound:BAKU_A1_kennen_dwdownload.mp3]		was-trinkst-du
refrigerator; fridge; ice box	der Kühlschrank, die Kühlschränke		[sound:BAKU_A1_Kuehlschrank_dwdownload.mp3]		was-trinkst-du
rather; to prefer	lieber 		[sound:BAKU_A1_lieber_dwdownload.mp3]		was-trinkst-du
"lemonade; soft drink<br><img src=""39646014_507.jpg"" width=""50%"" height=""50%"">"	die Limonade, die Limonaden <br><small><i>Kurzform: die Limo, die Limos</i></small><br><br>	die Limo, die Limos  <br><small><i>Abkürzung für: Limonade</i></small>	[sound:BAKU_A1_Limonade_dwdownload.mp3]	[sound:A1_E3_L2_S7_A5_Audio1_dwdownload.mp3]	was-trinkst-du
"milk<br><img src=""39646002_507.jpg"" width=""50%"" height=""50%"">"	die Milch <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Milch_dwdownload.mp3]		was-trinkst-du
with	mit		[sound:BAKU_A1_mit_dwdownload.mp3]		was-trinkst-du
to like; to want to; would like	möchten <br><small><i>möchte, wollte (!)</i></small>		[sound:BAKU_A1_moechten_dwdownload.mp3]		was-trinkst-du
to take something; to have something	etwas nehmen <br><small><i>nimmt, nahm, hat genommen</i></small>		[sound:BAKU_A1_nehmen_dwdownload.mp3]		was-trinkst-du
without	ohne		[sound:BAKU_A1_ohne_dwdownload.mp3]		was-trinkst-du
"orange juice<br><img src=""39646062_507.jpg"" width=""50%"" height=""50%"">"	der Orangensaft, die Orangensäfte (nach Zahl: Orangensaft)		[sound:BAKU_A1_Orangensaft_dwdownload.mp3]		was-trinkst-du
to post something	etwas posten <br><small><i>postet, postete, hat gepostet, aus dem Englischen</i></small>		[sound:BAKU_A2_posten_dwdownload.mp3]		was-trinkst-du
"juice<br><img src=""39655137_507.jpg"" width=""50%"" height=""50%"">"	der Saft, die Säfte (nach Zahl meist: Saft)		[sound:BAKU_A1_Saft_dwdownload.mp3]		was-trinkst-du
"menu<br><img src=""39646112_507.jpg"" width=""50%"" height=""50%"">"	die Speisekarte, die Speisekarten		[sound:BAKU_A1_Speisekarte_dwdownload.mp3]		was-trinkst-du
"tea<br><img src=""39655052_507.jpg"" width=""50%"" height=""50%"">"	der Tee, die Tees (nach Zahl: Tee)		[sound:BAKU_A1_Tee_dwdownload.mp3]		was-trinkst-du
a lot (of)	viel <br><small><i>mehr, am meisten</i></small>		[sound:BAKU_A1_viel_dwdownload.mp3]		was-trinkst-du
"water<br><img src=""39646158_507.jpg"" width=""50%"" height=""50%"">"	das Wasser <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Wasser_dwdownload.mp3]		was-trinkst-du
"wine<br><img src=""39646170_507.jpg"" width=""50%"" height=""50%"">"	der Wein, die Weine (nach Zahl: Wein)		[sound:BAKU_A1_Wein_dwdownload.mp3]		was-trinkst-du
a litte; a bit; few	wenig <br><small><i>weniger, am wenigsten</i></small>		[sound:BAKU_A1_wenig_dwdownload.mp3]		was-trinkst-du
"sugar<br><img src=""39655228_507.jpg"" width=""50%"" height=""50%"">"	der Zucker  <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Zucker_dwdownload.mp3]		was-trinkst-du
"pineapple<br><img src=""39388938_507.jpg"" width=""50%"" height=""50%"">"	die Ananas, die Ananas  <br><small><i>alternativer Plural: die Ananasse</i></small>		[sound:BAKU_A1_Ananas_dwdownload.mp3]		eine-pizza-bitte
"to order something<br><img src=""39645939_507.jpg"" width=""50%"" height=""50%"">"	(etwas) bestellen <br><small><i>bestellt, bestellte, hat bestellt</i></small>		[sound:BAKU_A1_bestellen_dwdownload.mp3]		eine-pizza-bitte
thirst; Durst haben = to be thirsty	der Durst  <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Durst_dwdownload.mp3]		eine-pizza-bitte
"to eat (something)<br><img src=""39645966_507.jpg"" width=""50%"" height=""50%"">"	(etwas) essen <br><small><i>isst, aß, hat gegessen</i></small>		[sound:BAKU_A1_essen_dwdownload.mp3]		eine-pizza-bitte
hunger; Hunger haben = to be hungry	der Hunger  <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Hunger_dwdownload.mp3]		eine-pizza-bitte
"cheese<br><img src=""39460600_507.jpg"" width=""50%"" height=""50%"">"	der Käse, die Käse 		[sound:BAKU_A1_Kaese_dwdownload.mp3]		eine-pizza-bitte
to love something/somebody; to like something/somebody	etwas/jemanden lieben <br><small><i>liebt, liebte, hat geliebt</i></small>		[sound:BAKU_A1_lieben_dwdownload.mp3]		eine-pizza-bitte
"mozzarella<br><img src=""39646038_507.jpg"" width=""50%"" height=""50%"">"	der Mozzarella <br><small><i>hier nur Singular</i></small>		[sound:A1_E3_L3_S5_A5_Audio1_dwdownload.mp3]		eine-pizza-bitte
"salami<br><img src=""39646206_507.jpg"" width=""50%"" height=""50%"">"	die Salami, die Salamis 		[sound:BAKU_A1_Salami_dwdownload.mp3]		eine-pizza-bitte
"salad; lettuce<br><img src=""40989196_507.jpg"" width=""50%"" height=""50%"">"	der Salat, die Salate 		[sound:BAKU_A1_Salat_dwdownload.mp3]		eine-pizza-bitte
"ham<br><img src=""39646100_507.jpg"" width=""50%"" height=""50%"">"	der Schinken, die Schinken 		[sound:BAKU_A1_Schinken_dwdownload.mp3]		eine-pizza-bitte
Anything else?	Sonst noch etwas?		[sound:BAKU_A1_sonst_noch_etwas_dwdownload.mp3]		eine-pizza-bitte
"sushi<br><img src=""39646134_507.jpg"" width=""50%"" height=""50%"">"	das Sushi <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Sushi_dwdownload.mp3]		eine-pizza-bitte
"tuna (fish)<br><img src=""39646218_507.jpg"" width=""50%"" height=""50%"">"	der Thunfisch, die Thunfische		[sound:BAKU_A1_der_thunfisch_dwdownload.mp3]		eine-pizza-bitte
"tomato<br><img src=""39389504_507.jpg"" width=""50%"" height=""50%"">"	die Tomate, die Tomaten 		[sound:BAKU_A1_Tomate_dwdownload.mp3]		eine-pizza-bitte
vegetarian (male)	der Vegetarier, die Vegetarier 		[sound:BAKU_A1_Vegetarier_dwdownload.mp3]		eine-pizza-bitte
vegetarian (female)	die Vegetarierin, die Vegetarierinnen 		[sound:BAKU_A1_Vegetarierin_dwdownload.mp3]		eine-pizza-bitte
What do you have?; What is there?	Was gibt es denn?		[sound:BAKU_A1_was_gibt_es_denn_dwdownload.mp3]		eine-pizza-bitte
in cash	bar		[sound:BAKU_A2_bar_dwdownload.mp3]		zahlen-bitte
"to pay something<br><img src=""40022994_507.jpg"" width=""50%"" height=""50%"">"	(etwas) bezahlen <br><small><i>bezahlt, bezahlte, hat bezahlt</i></small>		[sound:BAKU_A1_bezahlen_dwdownload.mp3]		zahlen-bitte
"cent<br><img src=""40022762_507.jpg"" width=""50%"" height=""50%"">"	der Cent, die Cents (nach Zahl: Cent)		[sound:BAKU_A1_Cent_dwdownload.mp3]		zahlen-bitte
That will be ...	Das macht …		[sound:BAKU_A1_das_macht_dwdownload.mp3]		zahlen-bitte
That will be ... in total.	Das macht zusammen …		[sound:BAKU_A1_das_macht_zusammen_dwdownload.mp3]		zahlen-bitte
Keep the change.; That's fine.	Das stimmt so. <br><small><i>Kurzform: Stimmt so.</i></small>		[sound:BAKU_A1_stimmt_so_dwdownload.mp3]		zahlen-bitte
It's my treat.; It's on me.	Du bist eingeladen!		[sound:BAKU_A1_du_bist_eingeladen_dwdownload.mp3]		zahlen-bitte
food	das Essen, die Essen 		[sound:BAKU_A1_Essen_das_dwdownload.mp3]		zahlen-bitte
"euro<br><img src=""39450126_507.jpg"" width=""50%"" height=""50%"">"	der Euro, die Euros (nach Zahl: Euro) <br><small><i>Zeichen: €</i></small>		[sound:BAKU_A1_Euro_dwdownload.mp3]		zahlen-bitte
